1	 0xa927e1e1e044ca1d9fe1854585003477331fe2af	5,872,783.994694337157985967	20.7697%
$2,147,688.85	
76	0x0b52086c689d9441889026f168c15f8478592528	7,233.1955	0.0256%
$2,645.19	
77	0x4872118b19cea01704c705c4912456906f109c0b	7,228.297222058077677183	0.0256%
$2,643.40	
78	 0x16f7cf04fa6405efdabc0a9866477a974d7a6d53	6,222.798867563346734155	0.0220%
$2,275.69	
79	 0xa0143c896408b0804bd05dc2cfb0bff8c915f1a0	6,130.40068430161123565	0.0217%
$2,241.90	
80	0x02468bb37edff152f12144444a04b4ab78712ed7	6,112.7904	0.0216%
$2,235.46	
81	 0x76ac541d428444129def51873f3b26f0aba9b548	6,014.3637526765197226	0.0213%
$2,199.46	
82	0x596a12806891186a6288ac0235be34a7905c2eff	5,929.85087273170936874	0.0210%
$2,168.56	
83	 0xe28459075c806b1bfa72a38e669ccd6fb4125f6a	5,713.696470183374638552	0.0202%
$2,089.51	
84	0x4eedfa535a22f63f982f8feac424a06df125f8b3	5,550.604285284129837487	0.0196%
$2,029.87	
85	0xda98266351677055cf296625fb2b0ce0e983265e	5,239.367979716812214005	0.0185%
$1,916.05	
86	 0x919410b356cb5e7147990198c5852df79dfec8e0	5,131.211721017123406493	0.0181%
$1,876.49	
87	 0xa4e4aa5328bc1224cdfef6df994958531d3833b8	5,032.604873677719455447	0.0178%
$1,840.43	
88	 0xbcfaf3d1ebc6d5fe786cec2662ac5e42a54b001b	5,002.652779466208035832	0.0177%
$1,829.48	
89	0xbff8765370a5cdc2a0f9bc5872f9f01814f8a145	4,990	0.0176%
$1,824.85	
90	0x1d2dbb2e6fb45b7a2dcb3d991279149846b8ea2a	4,968.566883994153697335	0.0176%
$1,817.01	
91	0x2dcb8f6b47c9113c4bdbb40145651c24b77d9425	4,891.7794413	0.0173%
$1,788.93	
92	0x0e36d299ce0a98d223da8ce83c8262154aeb07de	4,839.840709880728238173	0.0171%
$1,769.94	
93	0x6c177bc8087c8217df0e7d9df0c2815b4026176f	4,813.389055146312525845	0.0170%
$1,760.27	
94	0x282f6974618929a246e38751aadee682be8298c4	4,714.0070063	0.0167%
$1,723.92	
95	 0xb6835036c9a2a96d3bfb8dbe1722971feb456a83	4,417.439681198679270197	0.0156%
$1,615.47	
96	 0x62bdc13e4cecdc8c9a41f40cc60e0bcd88c81c7e	4,248.649466121244687227	0.0150%
$1,553.74	
97	0xd0ed643099041b805adec2e2af3329c06a20ffe6	4,209.61114204	0.0149%
$1,539.46	
98	0x16609a7da1fb457c3b7222e579d906db0da97f21	4,165.223333102015701268	0.0147%
$1,523.23	
99	0x702e7c861ff18958c3e866a51511e06d21afa757	4,162.175130965681088694	0.0147%
$1,522.12	
100	0xcbc3906efe25ed7cf06265f6b02e83db67ef41ac	4,151.325776544225503823	0.0147%
$1,518.15
101	0xd0c1002935113d723be6c1dc110b5c06558db520	4,117.478805614616714082	0.0146%
$1,505.77	
102	 0xc05437153c9211c85cc1979a1f01cd718dad6b61	4,004.27125894056993583	0.0142%
$1,464.37	
103	0x65a8e3e6b8f6ddadc15bd168f680bc6bc0dcc4dd	3,985	0.0141%
$1,457.32	
104	0xf7ebb67ef6d48f343731150f18bb8131542f85ec	3,983.12721003181248825	0.0141%
$1,456.64	
105	0xf62b239aa52d47702ace19764b110a6e83dc1ac7	3,869.152017615974656605	0.0137%
$1,414.96	
106	0x0a5a41537e66de18867d2df715e177f4babfc4ad	3,854.126886931698792062	0.0136%
$1,409.46	
107	 0x91b11e7649614eabe97d96d75be11d1068059ff1	3,825.255721828181566185	0.0135%
$1,398.90	
108	 0x4d1e33b13d6f5b761fa80221d771b89694f43d97	3,812.305064491398755427	0.0135%
$1,394.17	
109	0x572860f3a56eee253990edf7df46fa87358247b8	3,799.98800378	0.0134%
$1,389.66	
110	 0xa87b84da24e27193875f4acad69b03a271de9751	3,786.848978914497048863	0.0134%
$1,384.86	
111	 0xff6ba9a54b3c4cc6d906921fe0b10f68f395afbd	3,708.549149329570598263	0.0131%
$1,356.22	
112	 0xdba3f5ef4148945691f8a1a42d81973c9ebf18e7	3,645.008633763539518164	0.0129%
$1,332.99	
113	0x750f8d4d703c8991da281a0dc44697d7884014bd	3,611.53039233889547014	0.0128%
$1,320.74	
114	 0x5b3283d351d29dedcff51adca1e75cb2ca4c77d0	3,546.692843423182018437	0.0125%
$1,297.03	
115	0x111111110b71e5cff19eda17339ff816ced19cba	3,500.01910950003722878	0.0124%
$1,279.96	
116	0x3df318058af1bfb561e3e400100a804938405921	3,398.15	0.0120%
$1,242.71	
117	 0x16b33336d87687e4a8dcbc30416688c581b42f7c	3,283.564416832604404993	0.0116%
$1,200.81	
118	 0x3f9e1991a2eca60654b22e33326f82eb9ee3f3ef	3,278.348762930732839728	0.0116%
$1,198.90	
119	0xd4814c2c6d94ddb21f75aff90a65652353bd9635	3,255.744532739796555545	0.0115%
$1,190.63	
120	0x746037ecf387c423d89ae3f2ffc4d6c8d4250332	3,245	0.0115%
$1,186.70	
121	 0xb6c21f139dd75e7b841ef2412549da366453eb0a	3,128.716946337712728697	0.0111%
$1,144.18	
122	0xd7ec16b5f1bab6d98d55700c7f5bbe6dbf5c8f2c	3,092.49034890453000205	0.0109%
